fieldname,fieldvalue,index,rationale,sourcetype
bytes_in,10,lame_training,Gives a number of bytes that the source IP recieved during the network connection,lame_conn
bytes_out,10,lame_training,Gives a number of bytes that the destination IP recieved during the network connection,lame_conn
action,10,lame_training,a useful field - useful to see if the action was allowed for intel alerts,lame_conn
app,10,lame_training,tells you where you can look further for more information on the connection,lame_conn
community_id,10,lame_training,"tuple hash based off of src_ip, dest_ip, src_port, dest_port, and proto",lame_conn
conn_state,10,lame_training,describes the state of the connection.  Helps to tell if a connection actually occurred,lame_conn
conn_state_description,10,lame_training,human readable form of what the conn_state means,lame_conn
corelight_shunted,5,lame_training,states whether the log was shunted on the corelight appliance - shunted means part of it was cut off,lame_conn
dest_ip,10,lame_training,The destination IP address in the connection,lame_conn
dest_mac,5,lame_training,"almost useless because the mac is a layer 2 mac, meaning it is most likely a switch or router.",lame_conn
dest_port,10,lame_training,The port that was listening on the destination IP,lame_conn
direction,10,lame_training,"derived field that states if the traffic connection is outbound, inbound, or internal",lame_conn
duration,10,lame_training,states how long the connection lasted,lame_conn
history,5,lame_training,not great for analytics buts great for understanding if something happened,lame_conn
id.orig_h_name.src,10,lame_training,tells how Corelight was able to determine the IP addresses hostname,lame_conn
src_port,10,lame_training,The port that was used on the source IP.  Source IP is a random high port,lame_conn
local_orig,10,lame_training,determines if the src_ip is an internal IP address,lame_conn
local_resp,10,lame_training,determines if the dest_ip is an internal IP address,lame_conn
missed_bytes,5,lame_training,mostly an operation analtyic not a hunting analytic,lame_conn
orig_pckts,10,lame_training,"can be useful - how much traffic this connection has been doing Look at total packets, packets in , and packets out",lame_conn
packets_in,10,lame_training,"can be useful - how much traffic this connection has been doing Look at total packets, packets in , and packets out",lame_conn
packets_out,10,lame_training,"can be useful - how much traffic this connection has been doing Look at total packets, packets in , and packets out",lame_conn
path,1,lame_training,is used by the Splunk parser to determine the sourcetype.  Not useful for analytics,lame_conn
proto,10,lame_training,very useful - states if the connection was  tcp/udp/icmp,lame_conn
uid,10,lame_training,An id created by corelight that ties the different sourcetypes together,lame_conn
ts,10,lame_training,Timestamp for when request happened,corelight_http
method,10,lame_training,Verb used in http request (Get / Post etc),corelight_http
uri,10,lame_training,URI used in request,corelight_http
write_ts,1,bro,When the event was written to splunk,corelight_dns
dest,10,bro,Festination DNS server,corelight_dns
src,10,bro,Requesting system,corelight_dns
proto,10,bro,protocol used,corelight_dns
query,10,bro,requested dns resolution,corelight_dns
qtype_name,10,bro,qtype,corelight_dns
rcode,10,bro,rcode,corelight_dns
rejected,10,bro,Was the request rejected,corelight_dns
uid,10,bro,UID,corelight_dns
RA,1,bro,RA,corelight_dns
transaction_id,1,bro,Trans_id,corelight_dns
Z,1,bro,Trans_id,corelight_dns
Z,1,bro,Z,corelight_dns
src_ip,10,bro,IP of the requesting system,corelight_dns
dest_ip,10,bro,IP of Destination system,corelight_dns
dest_ip,10,bro,IP of Destination system,corelight_dns
auth_attempts,10,bro,How many attempted logins,corelight_ssh
auth_success,10,bro,Successful login,corelight_ssh
client,10,bro,Client string,corelight_ssh
cipher_alg,10,bro,Used to identify the cypher being used  some bad actors may change it to something like none,corelight_ssh
hassh,5,bro,Useful if you know what is bad,corelight_ssh
hasshAlgorithms,5,bro,Useful if you know what is bad,corelight_ssh
hasshServer,5,bro,Useful if you know what is bad,corelight_ssh
hasshServerAlgorithms,5,bro,Useful if you know what is bad,corelight_ssh
hasshVersion,5,bro,Useful if you know what is bad,corelight_ssh
host_key,5,bro,Useful if you know what is bad,corelight_ssh
host_key,5,bro,Useful for anomaly detection,corelight_ssh
host_key_alg,5,bro,Useful for anomaly detection,corelight_ssh
inferences{},10,bro,Shows possible risky behavior,corelight_ssh
