url,title,about
https://youtu.be/FVorWMJ-EX4,Meta host Tutorial,This video will focus on the host metadata field. Meta queries are fast ways of searching logs
https://youtu.be/UVqFTMQwUqA,Meta _time Tutorial,This video will focus on the _time metadata field. Meta queries are fast ways of searching logs
https://youtu.be/KIpfjRvdWL0,Meta source Tutorial,This video will focus on the source metadata field. Meta queries are fast ways of searching logs
https://youtu.be/fAt-HqPir0Y,Meta sourcetype Tutorial,This video will focus on the sourcetype metadata field. Meta queries are fast ways of searching logs
https://youtu.be/zDcmPGbl7gw,Meta _raw Tutorial,This video will focus on the _raw metadata field. Meta queries are fast ways of searching logs
https://youtu.be/RQVQP-7PNtg,Meta Index Tutorial,This video will focus on the index metadata field. Meta queries are fast ways of searching logs
https://youtu.be/xVrpE0unGco,Splunk Fast Vs Verbose Searching,Splunk tutorial on the difference between fast and verbose search modes.
https://youtu.be/f3OUfWkD2ro,SPL a Pipebased Language,Demonstrates why the SPL language is a pipebased language and what that means
https://youtu.be/uB6b_WQYeKA,Time Picker and Manipulation,Splunk tutorial to explain the time picker options and a method for adding or subtracting time from an epoch number.
https://youtu.be/MWhDFm1BGXo,SPL Filtering to the Left,Splunk tutorial on how to use filtering and the importance of doing it as soon as possible.
https://youtu.be/TSr1WjFlgYA,Tutorial on how to use the head command,The head command helps with making development of complex queries much easier as it shrinks down the volume of data that must be transformed
https://youtu.be/IcHApZh9eEg,Tutorial on the eval command,Eval command provides the ability to create your own variables and condition statements.
https://youtu.be/PwriGyeCiEg,Tutorial on building a simple navigation for your network,Lessons learned about how to create a simple html page to find all of your key resources on your network.  
https://youtu.be/qpY4Qieqewc,Splunk fields / table tutorial,Tutorial that discusses how to use fields and table command.  Show how to add and remove fields from the pipe.
https://youtu.be/PrT9l1s9Fv0,Splunk rename tutorial,"Tutorial discussing how to use the rename command to make fields more user friendly, remove unwanted characters, or merge datasources with different fields"
https://youtu.be/1ZfhIlU5HzA,Splunk Sort SPL tutorial,Tutorial discussing how to use the sort command to change the order rows are displayed to the user
https://youtu.be/jhE8QFgDW-o,Splunk Search and Where SPL Command,Tutorial discussing how and when to use the Search and Where commands to enhance queries
https://youtu.be/SPYc4AygV4M,Splunk Top and Rare SPL tutorial,Tutorial discussing how to use the top and rare command to get the most and least common occurence of fields
https://youtu.be/Q2dG9vwqgoI,Splunk Chart SPL tutorial,Tutorial discussing how to use the chart command to provide the user with different variety of charts
https://youtu.be/WouGxslDN2s,Splunk Dedup SPL tutorial,Tutorial discussing how to use the dedup command - additionally shows how the stats command can provide the same data more efficiently.
https://youtu.be/Rx7d47ilkIw,Splunk TimeChart Tutorial,Tutorial on how to create a simple chart watching a field over a period of time.  Time charts provide a simple means of creating a quick visual related to time.  
https://youtu.be/5YXjmQpJEjw,Splunk Stats Command,"Stats the swiss army knife an more often than not is the actually preferred method of data manipulation in Splunk.  If you need mathematical evaluations, or reduction in logs, stats is the tool for the job.  "
https://youtu.be/FTlqlqJLXpY,Splunk How to Convert a Normal Search into a Tstats Command,Tstats and datamodels provide a lot of capabilities but the syntax for making these queries is confusing.  This tutorial will break down the basic blocks of a search query and show how to put it into a tstats command.  
https://youtu.be/IFZ8cofDgxg,Splunk Data Models and Tags,Tagging data is a special way of being able to quickly identify data that meets certain patterns.   Tags provide for a quick way of searching for data that has been pre defined. 
https://youtu.be/W392O2rJKIw,Splunk Data Models and EventTypes,Eventtypes are critical for getting data models to work.  Eventtypes allow for color coding and identifying splunk logs that meet certain criteria.
https://youtu.be/j0oip3AqSJo,Splunk Data Models and Restricting the Indexes,Data models allow you to sort your data quicker but it is important that your whitelist the Indexes you are going to use to leverage as much speed performance as possible.  
https://youtu.be/WBzKUYAfGsk,Splunk Data Models and Why You Should Use Them,Splunk data models in the long run will simplify searching of data across multiple sources and imporve the time it takes to build dashboards.  Data models create a common field and search language that allows an analyst to search similar log types across multiple fields at the same time.  
https://youtu.be/sjUeggxdI2g,Splunk Data Models and Field Aliasing,If only your data always created field names that were intuitive and common across all log types.  Field aliasing is here to make up for this not occurring.  
https://youtu.be/mCUEcSlAE9Y,Improving Splunk Dashboard Performance Using Base Searches,"Each panel on a dashboard can eat up 1 cpu core and 1 gb of ram so if you have multiple panels, one can find splunk running out of resources quickly.  Base Searches provide the ability to use one search to power the results of multiple panels keeping resource usage low on dashboards."
https://youtu.be/DCxKWee4H48,Splunk Dashboards and How to Use User Input and Tokens,Dashboards allow users to provide custom input and that input can be used as tokens to populate and improve searches on dashbopards.  This tutorial will show how to capture use input and make tokesn from that input.
https://youtu.be/dNTaw2VmpJ4,Splunk Using Tokens to Perform Completely Different Searches,"This tutorial will show a situation where depending on the drop down choice selected a query will search a different location.  This example may not be directly applicable, but the use case has value in other situations you might run across.  "
https://youtu.be/VOVx9qPg8a0,Splunk - Displaying Search Results in Custom HTML Tables,The results of queries can be converted into a token that can later be used in other panels and parts of your dashboards.  This tutorial will demonstrate how to use tokens from a base search to populate custom HTML table cells.
https://youtu.be/SfEDJj7Jgpg,Splunk CSV Lookup Creation,Splunk allows multiple lookup types.  This tutorial will cover how to use CSV files to create lookups.  We will demo how to load a csv through settings and the Splunk Lookup Editor app.
https://youtu.be/-UP4xzdzwXI,Splunk KV Lookups,Splunk allows multiple lookup types.  This tutorial will cover how to use Key Value files to create lookups.  We will demo how to load a KV through settings Splunk Lookup Editor app.
https://youtu.be/1BdnU51wPfs,Splunk and Automatic Lookups,This tutorial will demonstrate how to automatically attach a lookup and its data to a splunk query through the use of automatic lookups.
https://youtu.be/HVNMgCqSGnI,Splunk Using a Custom Dashboard and KVs to Create a Data Dictionary,"Splunk can ingest all sorts of sourcetypes.  This tutorial will walk through an exercise of creating a KV Store and than using a dashboard to fill out the KV store and use the KV store to populate a dynamic data dictionary for your Splunk Sourcetypes.  Whether you use this exact scenario in your environment or not, the concepts have a lot of utility in other projects you may encounter.  "
https://youtu.be/UG1bynI70ls,How to Activate EventGen in Splunk,Log Analysis Made Easy Training App uses random logs generated through a tool called EventGen.  This video will demonstrate how to turn on Eventgen so that the LAME training app will start generating logs that can be used in these video tutorials.
https://youtu.be/5sFRdgUP3Fk,Splunk How To Create Reports Tutorial 101,"This tutorial will cover the most basic concepts of how to build a report, schedule a report, accelerate a report, how to integrate your reports into dashboard panels, and how to generate alerts."
https://youtu.be/utcCZI-ksOY,How and When to Create Splunk Indexes,This tutorial will explain when a new index should be created and how to create a new index in Splunk.  This video will cover how to set up log retention and access control for an index.  This video will explain how to use the Splunk GUI to create a new index.
https://youtu.be/oKk_dCVjb1A,Creating a Custom Indexes.conf File to Configure Splunk instances,This is the second part of how to use conf files to manage the configuration management of Splunk instances.  This video will focus on creating an indexes.conf file and how it can be applied to your environment to set up the indexes on each splunk instance.
https://youtu.be/jPF-RQw965M,Using Custom Apps to Control Change Management in Splunk,Custom Apps can contain .conf file changes that can be used to configure Splunk instances.  These custom apps can be deployed from a deployment server to be able to manage the configuration settings across your splunk environment.
https://youtu.be/-8G8yXU-n0I,Creating a Custom App To Get Splunk To Ingest Data,Getting Data into Splunk is made significantly more simple through the use of a custom app.  This video will demonstrate how to ingest data into Splunk through the creation of a custom props.conf and inputs.conf that will be contained in a custom app.
https://youtu.be/rXywsH_D4Sw,How To Use A Splunk Deployment Server to Push Out Apps for Data Ingestion,This is the second video in my playlist on how to ingest new logs into Splunk.  This video will cover how to use a deployment server to push out the app we created in the previous video to a Splunk Universal Forwarder to start ingesting new logs.
https://youtu.be/pcm-Ne_e09Q,Splunk App Development - How to simplify merging local settings into the default settings,"Splunk base and best practice require that the local config files be moved into the default directory.  If you are copying and pasting the differences between the two files, this tutorial will show you how to do the merging with an automated process / script."
https://youtu.be/edumE5gCwko,Ingesting and Parsing Unstructured Logs in Splunk,Not all logs come structured in json or csv format. This tutorial will focus on how to ingest an unstructured log and then parse the log within Splunk using the built in Regex parser.
https://youtu.be/aOuaoIQ5kfw,Splunk Creating Unified Navigation Panels Across All Pages,Prebuilt panels can be leveraged to create a uniform experience for Splunk users on all pages.  This tutorial will show how to leverage pre built panels to build a simple and clean navigation panel that can be placed on every splunk page.
https://youtu.be/TWYY5teg0VI,How to Create and Maintain Dashboard Documentation Within Splunk,"I have often been asked to document my analytics and dashboards within Splunk.  Over time, I have learned to leverage Splunk to document itself instead of having to maintain a paper copy of my documentation.  This tutorial will show how to leverage Splunk to document itself."
https://youtu.be/Ru0_ChM5IgM,"How to Ingest, Parse, and Make Useful Dashboards from Systems When No Splunkbase App Exists",This is a real case scenario of taking a tool that I use every day (WeKan) and how to get information out of that system and get it into Splunk.  This is capstone project for all of the tutorials that I have done in the past.  Look below for links to other trainings I have provided that give insight into how to do all of the parts of this project.
https://youtu.be/0jxBg05jvDI,How To Set up a Network to Learn Cyber Computer Security,This tutorial explains why I created the L.A.M.E. Channel and also explains how I set up my home network to simulate a production corporate network with nothing but FREE products.  My network utilizes Corporate grade software solutions that can be used for free in your home environment and I will continue to create videos that will demo how to use these products to develop the skill to be able to do log analysis for a profession.
https://youtu.be/AWj-tr_p53Q,Splunk Tutorial For Beginners | Common Mistakes | Run Splunk as Root,"We are going to outline some of the common mistakes that we see occuring in Splunk environments.  We will cover SPL mistakes later in this video list, but the mistake of running splunk as root is the most dangerous.  Running splunk as root is asking for bad things to happen to your base OS and ultimately your computer network.  We will discuss how to detect if splunk is running as root on your system and how to remedy it if is does.  "
https://youtu.be/nn3_ZbTZ4Xw,Splunk Tutorial For Beginners | Common Mistakes | Default Landing Page for all Splunk Users,"Splunk users will come to your environment with all levels of expertise.  The worst thing you can do is to just put the default search and reporting page in front of them.  This is page provides little to no information about your environment and can create a barrier to entry.  Instead we recommend making a landing page where you can ""train"" your users about the content that exists in your splunk environment and push them to stream lined processes where they can get help, discover the data that resides in splunk, and find the most commonly used dashboards for the system."
https://youtu.be/6c-uTI7-cLI,Introduction to Splunk Free Analytics Daily Queries | Get All Indexes,"We are going to start rolling out a Free Analytic Daily Share (F.A.D.S).  We will be adding a video the the playlist each day with an analytic that will help you navigate Splunk better, use data models, or search for something from popular Splunk logs.  Please feel free to comment below for analytics that you may be interested in seeing.  "
https://youtu.be/RS0iBsvKogE,Viewing Anomalies over time in Logs using the timewrap command,The timewrap command is a command that allows you to compare similart time periods to each other.  For example you can see the last 4 weeks of logs with each week stacked on top of each other so similar time logs are compared to each other.  
https://youtu.be/7X6vNTlAuEo,Example 2 for how to get your logs CIM compliant,Getting your logs CIM compliant can be frustrating and daunting when you first begin but this video will help demystify some of the work in getting your logs cim compliant
https://youtu.be/AIwQGC672Nw,Example 1 for how to get your logs CIM compliant,Getting your logs CIM compliant can be frustrating and daunting when you first begin but this video will help demystify some of the work in getting your logs cim compliant
https://youtu.be/kSEYA1sN0Cw,iplocation - geographical mapping of ip addresses ,the iplocation command provides the ability to get the geographical country (and often closer) location of an IP address.  
